"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X, G","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"File","Rename","F2","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Window","Activate Editor","F12","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Window","Update Project","Alt+F5","In Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"File","Save All","Ctrl+Shift+S","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"File","New","Ctrl+N","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Window","Next Editor","Ctrl+F6","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Next Column","Alt+L","Editing Text"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor"
"Text Editing","Previous Column","Alt+J","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Text Editing","Line Up","Alt+I","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
